search URL:,https://patents.google.com/?q=ginkgo&q=boloba&q=linn
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US9014457B2,Quantifying cell death ,Ucl Business Plc,"Stephen Moss, Maria Francesca Cordeiro, Steven Dakin",2009-11-06,2010-11-05,2015-04-21,2015-04-21,https://patents.google.com/patent/US9014457B2/en
CN100391492C,Burdock microecological formulation ,付信君,"付信君, 刘克斋, 徐誉泰, 熊建国",2005-01-13,2005-01-13,2008-06-04,2008-06-04,https://patents.google.com/patent/CN100391492C/en
US20030211456A1,Method of profiling a plant extract ,"Vassilios Papadopoulos, Katy Drieu","Vassilios Papadopoulos, Katy Drieu",2001-03-27,2001-03-27,2003-11-13,,https://patents.google.com/patent/US20030211456A1/en
CN102846501A,"Application of ginkgolic acid in skin whitening, freckle removing and resurfacing ",王青,"雷红, 王青",2012-08-14,2012-08-14,2013-01-02,,https://patents.google.com/patent/CN102846501A/en
CN103108639B,Composition of active ingredient of traditional chinese medicine and use thereof ,中国中医科学院中药研究所,"杨洪军, 李韶菁, 王永炎, 黄璐琦, 付梅红",2011-07-05,2012-07-03,2015-07-15,2015-07-15,https://patents.google.com/patent/CN103108639B/en
CN101415829A,Plants having enhanced yield-related traits and a method for making the same ,巴斯福植物科学有限公司,"A·I·桑兹莫林纳罗, C·勒佐, V·弗兰卡德",2006-03-31,2007-03-30,2009-04-22,,https://patents.google.com/patent/CN101415829A/en
CN101612296A,Use of medicaments for treating cardiac-cerebral vascular diseases and post-stroke syndromes in preparation of medicaments for treating fatty liver ,贵州百灵企业集团制药股份有限公司,"余丽梅, 芹 吴, 文 夏, 安斯扬, 星 李, 晶 聂",2009-06-12,2009-06-12,2009-12-30,,https://patents.google.com/patent/CN101612296A/en
CN1311010A,"Smoke inhaling article for medical use, and its mfg. method ",裴旿星,裴旿星,2000-03-03,2000-05-26,2001-09-05,,https://patents.google.com/patent/CN1311010A/en
CN102846677A,Use of ginkgolic acids in preparation of external preparation for treating cutaneous tumors ,王青,"雷红, 王青",2012-08-14,2012-08-14,2013-01-02,,https://patents.google.com/patent/CN102846677A/en
CN104489518A,Health-preserving porridge for treating neurasthenia and prepration method of health-preserving porridge ,周亮,周亮,2014-12-14,2014-12-14,2015-04-08,,https://patents.google.com/patent/CN104489518A/en
CN100391489C,Medicinal composition containing borneol ,深圳市生物谷科技有限公司,林艳和,2005-12-26,2005-12-26,2008-06-04,2008-06-04,https://patents.google.com/patent/CN100391489C/en
CN1180493A,Functional gourmet powder ,李彦斌,李彦斌,1996-10-17,1996-10-17,1998-05-06,,https://patents.google.com/patent/CN1180493A/en
CN105168336A,Natural medicine composition for adjusting diabetes immune and metabolism functions and preparation method of natural medicine composition ,南京轶萃康健康科技有限公司,"潘苏华, 马波, 李璇, 牛聪聪",2015-10-08,2015-10-08,2015-12-23,,https://patents.google.com/patent/CN105168336A/en
CN102349919B,Application of gingkolic acid in preparation of external preparation for treating osmidrosis ,王青,"雷红, 王青",2011-08-18,2011-08-18,2013-08-14,2013-08-14,https://patents.google.com/patent/CN102349919B/en
US20060051438A1,Herbal medicaments for the treatment of neurocerebrovascular disorders ,Council Of Scientific And Industrial Research,"Madhur Ray, Raghwendra Pal, Satyawan Singh, Nandoo Khanna",2001-12-14,2005-08-24,2006-03-09,,https://patents.google.com/patent/US20060051438A1/en
JP2003206225A,Cosmetic composition and beauty and healt food composition ,"Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Junichi Hasegawa, Kenichi Ito, Hiroshi Ueno, 賢一 伊藤, 洋志 植野, 順一 長谷川",2002-01-11,2002-01-11,2003-07-22,,https://patents.google.com/patent/JP2003206225A/en
JP2002145730A,Cosmetic ,"Katakura Chikkarin Co Ltd, 片倉チッカリン株式会社","Masato Izume, Michihiro Tajima, 正人 井爪, 道弘 田島",2000-11-10,2000-11-10,2002-05-22,,https://patents.google.com/patent/JP2002145730A/en
US20150056255A1,"Product Comprising a Plant for Medicinal, Cosmetic, Coloring or Dermatologic Use ","Schweitzer-Mauduit International, Inc., SWM Luxembourg s.a.r.l.","Philippe Ragot, Esther Pons, Bernard Mompon, Cedric Rousseau",2013-08-20,2014-08-18,2015-02-26,,https://patents.google.com/patent/US20150056255A1/en
CN104673860A,Method and device for preparing amylose on basis of isoamylase ,江苏农牧科技职业学院,"郑义, 张焕新, 朱善元, 陆辉, 郑士荣, 丁宁, 张伟",2015-03-20,2015-03-20,2015-06-03,,https://patents.google.com/patent/CN104673860A/en
JP2002265343A,Cosmetic composition ,"Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Mitsuharu Ohara, 光晴 大原",2001-03-07,2001-03-07,2002-09-18,,https://patents.google.com/patent/JP2002265343A/en
JP2003212774A,Maillard reaction inhibitor ,"Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Hiroyuki Kojima, Nobuyasu Matsuura, Mitsuharu Ohara, Makoto Ubukata, 光晴 大原, 弘之 小島, 信康 松浦, 信 生方",2002-01-22,2002-01-22,2003-07-30,,https://patents.google.com/patent/JP2003212774A/en
JP2006347995A,Composition for makeup ,"Yukihiro Hirose, 廣瀬  行博","Keiko Hirose, Yukihiro Hirose, 瀬 慶 子 廣, 瀬 行 博 廣",2005-06-20,2005-06-20,2006-12-28,,https://patents.google.com/patent/JP2006347995A/en
CN106109313A,Beauty freckle cream ,郑州景鸿畜牧科技有限公司,景金发,2016-07-18,2016-07-18,2016-11-16,,https://patents.google.com/patent/CN106109313A/en
CN104491187A,External use ointment capable of preventing radiation and preparation method thereof ,孙士强,"孙士强, 陈元丽, 杨子峰",2015-01-16,2015-01-16,2015-04-08,,https://patents.google.com/patent/CN104491187A/en
CN103285343B,Medicine for treating liver cancer and preparation method thereof ,山东省立医院,"张振海, 李辰生",2013-04-17,2013-04-17,2015-04-01,2015-04-01,https://patents.google.com/patent/CN103285343B/en
CN102846500A,Leucoderma skin color covering liquid and preparation method thereof ,王青,"雷红, 王青",2012-08-14,2012-08-14,2013-01-02,,https://patents.google.com/patent/CN102846500A/en
CN102772665B,Traditional Chinese medicine preparation for treating yin deficiency and internal heat type vital myocarditis and preparation method thereof ,青岛华仁技术孵化器有限公司,"范连钧, 黑君华, 孙燕, 管玉贞, 张秀苇",2012-08-21,2012-08-21,2014-11-05,2014-11-05,https://patents.google.com/patent/CN102772665B/en
KR101127321B1,A shampoo for promoting a growith of a hair and preventing fall-out of hair ,김성오,김성오,2006-03-24,2006-03-24,2012-03-29,2012-03-29,https://patents.google.com/patent/KR101127321B1/en
CN103005096B,Harmonic Harmonic tea liquor and its preparation method ,重庆独到建材有限公司,周远飞,2012-12-10,2012-12-10,2014-10-29,2014-10-29,https://patents.google.com/patent/CN103005096B/en
KR20070122497A,Method for treating dementia or alzheimer's disease with a cd20 antibody ,"제넨테크, 인크.",마틴 이. 샌더스,2005-04-22,2006-04-20,2007-12-31,,https://patents.google.com/patent/KR20070122497A/en
JP2003104835A,Cosmetic composition ,"Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Michimasa Hori, Yukinaga Nishibe, Kiyotaka Tanaka, 道政 堀, 清隆 田中, 幸修 西部",2001-09-28,2001-09-28,2003-04-09,,https://patents.google.com/patent/JP2003104835A/en
CN104383114A,"Traditional Chinese medicine composition and liquid shampoo for preventing alopecia, and preparation method of traditional Chinese medicine composition ",霸王（广州）有限公司,"陈啟源, 万玉华, 张榕文, 吴志强, 蒋日琼, 任杰麟",2014-11-19,2014-11-19,2015-03-04,,https://patents.google.com/patent/CN104383114A/en
CN105456933A,Traditional Chinese medicine capable of activating blood to remove stasis and clearing and activating channels and collaterals and preparation method of traditional Chinese medicine ,青岛友诚高新技术有限公司,不公告发明人,2015-12-23,2015-12-23,2016-04-06,,https://patents.google.com/patent/CN105456933A/en
CN102846678A,Application of ginkgolic acid in weight losing ,王青,"雷红, 王青",2012-08-14,2012-08-14,2013-01-02,,https://patents.google.com/patent/CN102846678A/en
KR101198944B1,Feed additive ,(주)애드바이오텍,"성하균, 이상석, 조성백",2010-12-17,2011-08-05,2012-11-07,2012-11-07,https://patents.google.com/patent/KR101198944B1/en
US20080138400A1,Liposomal curcumin for treatment of diseases ,"Board Of Regents, The University Of Texas System","Razelle Kurzrock, Lan Li, Kapil Mehta, Bharat Bhushan Aggarawal, Lawrence Helson",2004-03-05,2007-12-01,2008-06-12,,https://patents.google.com/patent/US20080138400A1/en
JP2003012531A,Collagenease activity inhibitor or cosmetic composition ,"Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Yukinaga Nishibe, Kanae Wakamatsu, 香苗 若松, 幸修 西部",2001-07-06,2001-07-06,2003-01-15,,https://patents.google.com/patent/JP2003012531A/en
JP2001122731A,Cosmetic composition containing moisturizing plant extract ,"Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Mitsuko Kondo, Mitsuharu Ohara, Masako Toki, 正子 土岐, 光晴 大原, 光子 近藤",1999-10-26,1999-10-26,2001-05-08,,https://patents.google.com/patent/JP2001122731A/en
CN105496814A,4D nail polish gel and application method thereof ,杭州莱凡网络科技有限公司,赵明,2015-12-02,2015-12-02,2016-04-20,,https://patents.google.com/patent/CN105496814A/en
CN102861180A,Amino-acid-containing composition capable of improving conditions of patients with cardiovascular and cerebrovascular diseases and application of amino-acid-containing composition ,福州海王福药制药有限公司,俞宁,2012-09-27,2012-09-27,2013-01-09,,https://patents.google.com/patent/CN102861180A/en
CN102579840A,Chinese medicinal composition with effects of reducing intraocular pressure and protecting optic nerves and preparation method thereof ,许梅,许梅,2012-03-26,2012-03-26,2012-07-18,,https://patents.google.com/patent/CN102579840A/en
CN103181565A,PM2.5-preventing capsule for clearing away lung toxicant and protecting lungs ,苟春虎,苟春虎,2013-03-07,2013-03-07,2013-07-03,,https://patents.google.com/patent/CN103181565A/en
CN101380047A,Health-care tea and its preparing process ,张耀春,"张耀春, 李贵君",2008-10-20,2008-10-20,2009-03-11,,https://patents.google.com/patent/CN101380047A/en
CN103550104B,An anti-aging and cosmetic preparations ,"广州栋方日化有限公司, 广东艾圣日用化学品有限公司","曾飒, 殷露琴, 周娟娟, 唐新明",2013-11-08,2013-11-08,2015-06-03,2015-06-03,https://patents.google.com/patent/CN103550104B/en
CN106028813A,Soybean pest control methods ,巴斯夫欧洲公司,"D·赛林格, J·迪克豪特, K·科尔博尔, W·冯戴恩, R·科勒, A·纳里尼, J-Y·瓦池, J·迪茨",2014-02-27,2015-02-25,2016-10-12,,https://patents.google.com/patent/CN106028813A/en
CN104491226A,Novel medical application of pharmaceutical composition ,河北神威药业有限公司,"张纲, 李志刚, 李军山, 张志伟, 关秀伟",2014-12-26,2014-12-26,2015-04-08,,https://patents.google.com/patent/CN104491226A/en
CN105125737A,"Chitosan compound with function of enhancing immunity, preparation method thereof, and capsules containing chitosan compound ",青岛银色世纪健康产业集团有限公司,"李丽杰, 王尚龙, 李八方, 邹圣灿",2015-09-10,2015-09-10,2015-12-09,,https://patents.google.com/patent/CN105125737A/en
JP3592528B2,Kale containing beverages ,嘉男 山本,嘉男 山本,1998-05-28,1998-05-28,2004-11-24,2004-11-24,https://patents.google.com/patent/JP3592528B2/en
CN102688356B,Traditional Chinese medicine oral liquid for easing Qi-deficiency type coronary disease and preparation method ,黄芸,黄芸,2012-06-19,2012-06-19,2014-03-12,2014-03-12,https://patents.google.com/patent/CN102688356B/en
WO2015087277A1,"Composition based on a polyunsatured fatty acid and on a carotenoid, for oral administration, for improving hair quality ",Laboratoires Inneov,Nathalie Piccardi,2013-12-12,2014-12-11,2015-06-18,,https://patents.google.com/patent/WO2015087277A1/en
CN101766699A,Medicinal combination containing musk ,深圳市生物谷科技有限公司,林艳和,2006-03-27,2006-03-27,2010-07-07,,https://patents.google.com/patent/CN101766699A/en
US20030028927A1,Methods and compositions for revealing hidden genetic variation in plants ,"Susan Lindquist, Christine Queitsch, Sangster Todd A.","Susan Lindquist, Christine Queitsch, Todd Sangster",2001-06-13,2002-06-13,2003-02-06,,https://patents.google.com/patent/US20030028927A1/en
CN105166896A,Health-care food capable of improving memory in auxiliary manner ,吉林大学,"张琨, 张兴义, 李炳锦, 崔然吉",2015-09-06,2015-09-06,2015-12-23,,https://patents.google.com/patent/CN105166896A/en
CN103372114A,Red rice and rhizoma alismatis medicinal composition for regulating blood fat and preparation method of composition ,北京北大维信生物科技有限公司,"段震文, 郭树仁, 刘曦",2012-04-20,2012-04-20,2013-10-30,,https://patents.google.com/patent/CN103372114A/en
CN103372073A,Red rice and hawthorn medicinal composition for regulating blood fat and preparation method of composition ,北京北大维信生物科技有限公司,"段震文, 郭树仁, 刘曦",2012-04-20,2012-04-20,2013-10-30,,https://patents.google.com/patent/CN103372073A/en
CN103379911B,PGC-1α regulatory peptides ,利普泰股份公司,"J·M·加西亚安东, N·阿尔米尼亚纳多梅内奇, A·V·菲尔勒蒙蒂埃尔",2011-03-25,2012-03-23,2016-05-25,2016-05-25,https://patents.google.com/patent/CN103379911B/en
CN103108645B,Composition of chinese herbal compound or extract and use thereof ,中国中医科学院中药研究所,"杨洪军, 李韶菁, 王永炎, 黄璐琦, 付梅红",2011-07-05,2012-06-28,2015-07-15,2015-07-15,https://patents.google.com/patent/CN103108645B/en
CN104489716A,Health preparation capable of preventing and treating cardiovascular diseases of human body and production method of health preparation ,唐华,唐华,2014-12-29,2014-12-29,2015-04-08,,https://patents.google.com/patent/CN104489716A/en
KR20070045157A,Topical slimming preparation and a cosmetic containing a carnitine derivative ,쇼와 덴코 가부시키가이샤,"모토아키 가마치, 에이코 가토오, 아키라 시부야, 히로부미 아오키",2004-05-31,2005-05-31,2007-05-02,,https://patents.google.com/patent/KR20070045157A/en
CN1899341A,American goldenrod herb total flavone extract and its preparing method and use ,上海林赛娇生物科技发展有限公司,"郑榕, 秦路平, 徐磊",2006-07-27,2006-07-27,2007-01-24,,https://patents.google.com/patent/CN1899341A/en
CN105233173A,"Composition for treating tumors of livers, gall and pancreas and preparation method thereof ",梁占强,梁占强,2015-11-11,2015-11-11,2016-01-13,,https://patents.google.com/patent/CN105233173A/en
CA2371896C,Method of increasing the content of flavonoids and phenolic substances in plants ,"Basf Aktiengesellschaft, Wilhelm Rademacher, Klaus Kramer, Jurgen Schweden","Wilhelm Rademacher, Klaus Kramer, Jurgen Schweden",1999-06-17,2000-06-07,2008-04-01,2008-04-01,https://patents.google.com/patent/CA2371896C/en
CN105147991A,Traditional Chinese medicine combination for inhibiting melanin generation and preparation method and application thereof ,广州环亚化妆品科技有限公司,"张凯, 龚盛昭, 孙永, 陈佳龄, 胡兴国",2015-11-04,2015-11-04,2015-12-16,,https://patents.google.com/patent/CN105147991A/en
JP2001106619A,Cosmetic composition ,"Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Yoshihiko Naba, Kiyotaka Tanaka, Norihiro Tomono, 規博 伴野, 清隆 田中, 慶彦 那波",1999-10-05,1999-10-05,2001-04-17,,https://patents.google.com/patent/JP2001106619A/en
CN1857446A,Musk containing medicine composition ,深圳市生物谷科技有限公司,林艳和,2006-03-27,2006-03-27,2006-11-08,,https://patents.google.com/patent/CN1857446A/en
US20110305779A1,Phytochemical combinations that regulate pathological immunity ,Cowan Fred M,Fred M. COWAN,2010-06-10,2011-06-09,2011-12-15,,https://patents.google.com/patent/US20110305779A1/en
CN1861118A,"Method for preparing Broussonetia papyrifera red pigment, and use thereof ",中国人民解放军第二军医大学,"秦路平, 庞素秋, 黄宝康, 张巧艳, 张宏, 韩婷",2006-03-24,2006-03-24,2006-11-15,,https://patents.google.com/patent/CN1861118A/en
CN101664452B,Drug combination containing musk ,深圳市金沙江投资有限公司,林艳和,2006-03-27,2006-03-27,2011-04-06,2011-04-06,https://patents.google.com/patent/CN101664452B/en
CN101636187A,Biodegradable vascular support ,汉莫堤克股份有限公司,"罗兰·河瑞斯, 艾利克·霍夫曼, 迈可·霍夫曼",2007-01-30,2008-01-30,2010-01-27,,https://patents.google.com/patent/CN101636187A/en
CN103919888B,A composite hair oil and preparation method ,杨理容,杨理容,2014-04-30,2014-04-30,2016-04-06,2016-04-06,https://patents.google.com/patent/CN103919888B/en
JP2001081027A,Antibacterial-antiseptic agent ,"Ichimaru Pharcos Co Ltd, Neetec:Kk, Yaizu Suisankagaku Industry Co Ltd, 一丸ファルコス株式会社, 株式会社ネーテック, 焼津水産化学工業株式会社","妍 ▲コウ▼, Norihisa Kawai, Ken Kou, Yoshiharu Matahira, Takehito Naitou, Hirofumi Yura, 岳仁 内藤, 芳春 又平, 徳久 河合, 洋文 由良",1999-09-09,1999-09-09,2001-03-27,,https://patents.google.com/patent/JP2001081027A/en
CN106036881A,Having a function of making production methods appetite Ban SACP water composition and water SACP Ban enhancements ,东莞华创客驿食品技术开发有限公司,谢妮妮,2016-07-25,2016-07-25,2016-10-26,,https://patents.google.com/patent/CN106036881A/en
CN1660387A,Health care preparation for regulating functional balance of organs of bowels in human body and preparing method ,韦平生,韦平生,2004-12-29,2004-12-29,2005-08-31,,https://patents.google.com/patent/CN1660387A/en
CN103784448A,Preparation method of natural 6-hydroxykynurenic acid extract and application thereof ,"浙江康恩贝制药股份有限公司, 浙江康恩贝药品研究开发有限公司","王如伟, 乔洪翔, 方玲, 金朱明, 胡江宁, 吴健, 姚建标, 何厚洪, 吴华铃, 陈仲良",2014-01-07,2014-01-07,2014-05-14,,https://patents.google.com/patent/CN103784448A/en
CN103006990B,Hypotensive and hypoglycemic medicinal granules and preparation method thereof ,韩必芝,韩必芝,2012-12-10,2012-12-10,2015-04-22,2015-04-22,https://patents.google.com/patent/CN103006990B/en
CN100445288C,Bilobalide B derivatives and pharmaceutical application thereof ,秦引林,秦引林,2006-04-26,2006-04-26,2008-12-24,2008-12-24,https://patents.google.com/patent/CN100445288C/en
CN101766701B,Medicinal combination containing musk ,深圳市金沙江投资有限公司,林艳和,2006-03-27,2006-03-27,2011-08-03,2011-08-03,https://patents.google.com/patent/CN101766701B/en
CN101766700B,Medicinal combination containing musk ,深圳市金沙江投资有限公司,林艳和,2006-03-27,2006-03-27,2011-08-03,2011-08-03,https://patents.google.com/patent/CN101766700B/en
CN102914608A,Method for quickly detecting pesticide multiple residues in traditional Chinese medicine through membrane separation and comprehensive two-dimensional gas chromatography-time-of-flight mass spectrometer ,天津出入境检验检疫局动植物与食品检测中心,"王云凤, 高健会, 刘旸",2012-11-12,2012-11-12,2013-02-06,,https://patents.google.com/patent/CN102914608A/en
US20100151000A1,Compositions and methods for modulating immune responses ,The University Of Queensland,"Ranjeny Thomas, Nigel Meredith Davies, Brendan John O'Sullivan",2006-10-12,2007-10-12,2010-06-17,,https://patents.google.com/patent/US20100151000A1/en
CN104187275A,Tartary buckwheat health-care flour and preparation method thereof ,宿州市金穗面业有限责任公司,戴雷,2014-07-15,2014-07-15,2014-12-10,,https://patents.google.com/patent/CN104187275A/en
CN100457124C,Therapeutic agents ,宝生物工程株式会社,"佐川裕章, 加藤郁之进, 大野木宏, 小林英二, 李拖平, 白发正宏, 西村香织",2000-04-10,2001-04-10,2009-02-04,2009-02-04,https://patents.google.com/patent/CN100457124C/en
CN101766706B,Medicinal combination containing borneol and musk ,深圳市金沙江投资有限公司,林艳和,2006-03-27,2006-03-27,2011-08-03,2011-08-03,https://patents.google.com/patent/CN101766706B/en
CN1260201A,Chinese preparatory medicine and its preparation method ,张发平,张发平,1999-09-10,1999-09-10,2000-07-19,,https://patents.google.com/patent/CN1260201A/en
CN102764280A,Bezoar and musk containing pharmaceutical composition and its application ,秦引林,秦引林,2011-05-06,2011-05-06,2012-11-07,,https://patents.google.com/patent/CN102764280A/en
CN104857414A,Medicine composite for treating chronic simple rhinitis ,燕爱凤,"燕爱凤, 念丁芳, 崔卫华",2015-05-06,2015-05-06,2015-08-26,,https://patents.google.com/patent/CN104857414A/en
KR101226256B1,"Manufacture, method, and use of active substance-releasing medical products for permanently keeping blood vessels open ",헤모텍 아게,"에리카 호프만, 미카엘 호프만, 롤란드 호레스, 자비네 퀴스터스",2006-07-03,2007-07-03,2013-01-25,2013-01-25,https://patents.google.com/patent/KR101226256B1/en
CN106215118A,Antitumor health care and its preparation method ,广西康宝海美三高生态茶有限公司,杨定海,2016-08-29,2016-08-29,2016-12-14,,https://patents.google.com/patent/CN106215118A/en
CN101007037A,"Total triterpenes of solidago canadensis extracts, preparation method and use thereof ",上海海一生物科技有限公司,"郑水庆, 郑榕, 秦路平",2007-01-23,2007-01-23,2007-08-01,,https://patents.google.com/patent/CN101007037A/en
CN103919768A,Medicine composition containing isoginkgetin and bilobalide and preparation thereof ,吴静,吴静,2014-03-30,2014-03-30,2014-07-16,,https://patents.google.com/patent/CN103919768A/en
CN105434708A,Preparation method for composition used for treating cerebral thrombus and sequelae thereof ,青岛华之草医药科技有限公司,陈正红,2015-12-11,2015-12-11,2016-03-30,,https://patents.google.com/patent/CN105434708A/en
CN101422201A,Natural compound antioxidant for fat-rich food ,长春工业大学,"张凤清, 王志兵, 解耸林, 邱芳萍",2008-11-18,2008-11-18,2009-05-06,,https://patents.google.com/patent/CN101422201A/en
KR20130038925A,New use of hesperetin ,내처럴 메디슨 인스티튜트 오브 제지앙 양솅탕 컴퍼티 리미티드,"리우 후, 홍잉 란",2010-07-20,2011-06-15,2013-04-18,,https://patents.google.com/patent/KR20130038925A/en
CN100584357C,Medicine composition containing borneol and musk ,深圳市生物谷科技有限公司,林艳和,2006-03-27,2006-03-27,2010-01-27,2010-01-27,https://patents.google.com/patent/CN100584357C/en
JP2001321125A,Food and drink for manicure ,"Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Munenori Maeda, Yoshihiko Naba, Yukinaga Nishibe, 宗紀 前田, 幸修 西部, 慶彦 那波",2000-05-11,2000-05-11,2001-11-20,,https://patents.google.com/patent/JP2001321125A/en
CN1437959A,Chinese prepartory for treating cardiovascular and cerebrovascular disease and preparation method ,"杨志东, 张松山","杨志东, 张松山, 何对渠",2002-02-10,2002-02-10,2003-08-27,,https://patents.google.com/patent/CN1437959A/en
CN103372172B,A method of adjusting lipid red yeast Curcuma pharmaceutical composition and method of preparation ,北京北大维信生物科技有限公司,"段震文, 郭树仁, 刘曦",2012-04-20,2012-04-20,2016-01-20,2016-01-20,https://patents.google.com/patent/CN103372172B/en
US9453226B2,Protection of cells from Alu-RNA-induced degeneration and inhibitors for protecting cells ,University Of Kentucky Research Foundation,"Jayakrishna Ambati, Valeria TARALLO",2011-07-18,2014-01-17,2016-09-27,2016-09-27,https://patents.google.com/patent/US9453226B2/en
KR101471215B1,"Anti-resorption and bone formation, and methods for using dietary supplements ","크렘핀, 로리에, 마리 에이. 머레이, 유메이 린, 케빈 더블유. 글렌벡, 코스타 실비아 알. 다, 레온 엠. 윌킨스, 헤리 로-슈미트, 자틴더 라나, 존 에프. 레번, 데이비드 제이. 패스트","데이비드 더블유. 크렘핀, 마리 에이. 머레이, 유메이 린, 케빈 더블유. 글렌벡, 코스타 실비아 알. 다, 레온 엠. 윌킨스, 헤리 로-슈미트, 자틴더 라나, 존 에프. 레번, 데이비드 제이. 패스트",2006-10-24,2007-10-24,2014-12-09,2014-12-09,https://patents.google.com/patent/KR101471215B1/en
CN103417601A,Pharmaceutical composition capable of adjusting blood fat and applications thereof ,北京北大维信生物科技有限公司,"段震文, 郭树仁, 刘曦",2012-05-18,2012-05-18,2013-12-04,,https://patents.google.com/patent/CN103417601A/en
CN104107351A,"Chinese herbal medicine for blood fat reducing, and administration method thereof ",河南科技大学第一附属医院,"李亚, 米星星",2014-07-01,2014-07-01,2014-10-22,,https://patents.google.com/patent/CN104107351A/en
US20060194810A1,Methods of treating ischemic related conditions ,"Bijan Almassian, Zhi-Gang Jiang, Lebowitz Michael S, Weiying Pan, Ghanbari Hossein A","Bijan Almassian, Zhi-Gang Jiang, Michael Lebowitz, Weiying Pan, Hossein Ghanbari",2004-04-30,2005-11-18,2006-08-31,,https://patents.google.com/patent/US20060194810A1/en
JP2003081808A,Humectant and cosmetic composition comprising lactic acid fermentation metabolite ,"Ichimaru Pharcos Co Ltd, Taiyo Corp, 一丸ファルコス株式会社, 大洋香料株式会社","Kohei Hasebe, Yoshihiro Nosaka, Hisayasu Sonoda, 久泰 園田, 能寛 野坂, 浩平 長谷部",2001-09-13,2001-09-13,2003-03-19,,https://patents.google.com/patent/JP2003081808A/en
CN103656484A,Traditional Chinese medicine composition as well as preparation method and application thereof ,江苏康缘药业股份有限公司,"萧伟, 王振中, 李永辉, 李娜, 丁岗, 章晨峰",2012-09-14,2012-09-14,2014-03-26,,https://patents.google.com/patent/CN103656484A/en
CN104327967A,Cleaning sterilization agent of recycled rubber ,安徽奥丰汽车配件有限公司,"张安民, 许容毅, 张辉",2014-10-08,2014-10-08,2015-02-04,,https://patents.google.com/patent/CN104327967A/en
CN101693046A,Chinese medicine composition capable of improving anoxia endurance ,庞会心;,庞会心,2009-11-04,2009-11-04,2010-04-14,,https://patents.google.com/patent/CN101693046A/en
CN105998963A,Chinese medicine for treating chronic renal failure composition and its application ,李永伟,李永伟,2016-07-25,2016-07-25,2016-10-12,,https://patents.google.com/patent/CN105998963A/en
WO2001070929A2,Transgenic plants containing heat shock protein ,Arch Development Corporation,"Susan Lindquist, Christine Queitsch, Elizabeth Vierling",2000-03-20,2001-03-20,2001-09-27,,https://patents.google.com/patent/WO2001070929A2/en
CN102441145A,Medicament for treating lumbar disc herniation and cervical spondylosis ,王宝建,"王博, 王宝建, 王鑫",2011-12-06,2011-12-06,2012-05-09,,https://patents.google.com/patent/CN102441145A/en
CN105029553A,Fruit juice-egg-calcium traditional Chinese medicine health beverage and preparation method thereof ,温星潼,"温星潼, 温力堃",2015-06-15,2015-06-15,2015-11-11,,https://patents.google.com/patent/CN105029553A/en
CN101766702B,Medicinal combination containing borneol and musk ,深圳市金沙江投资有限公司,林艳和,2006-03-27,2006-03-27,2011-08-03,2011-08-03,https://patents.google.com/patent/CN101766702B/en
CN101766705B,Medicinal combination containing borneol and musk ,深圳市金沙江投资有限公司,林艳和,2006-03-27,2006-03-27,2011-08-03,2011-08-03,https://patents.google.com/patent/CN101766705B/en
CN101766703B,Medicinal combination containing borneol and musk ,深圳市金沙江投资有限公司,林艳和,2006-03-27,2006-03-27,2011-08-03,2011-08-03,https://patents.google.com/patent/CN101766703B/en
CN104984093A,Phellinus igniarius-ganoderma lucidum-artocarpus lingnanensis root wine ,曾盛钊,"曾盛钊, 赵锡祥, 杨学成, 黄展鹏",2015-07-28,2015-07-28,2015-10-21,,https://patents.google.com/patent/CN104984093A/en
CN105267783A,Preparation for treating skin cancer and method for preparing preparation ,深圳市太生源健康产业有限公司,周新中,2015-11-19,2015-11-19,2016-01-27,,https://patents.google.com/patent/CN105267783A/en
CN104127680A,Traditional Chinese medicine formula for treating myocarditis ,范广慈,范广慈,2014-08-01,2014-08-01,2014-11-05,,https://patents.google.com/patent/CN104127680A/en
EP2411030B1,Herbal extract of Casia tora leaves for use in the treatment of anxiety disorders ,Council of Scientific & Industrial Research,"Meena Rajnikant Rathod, Bhupendra Dhanvantrai Shethia, Jayant Batukrai Pandya, Prakash Jagjivanbhai Dodiya, Gautam Palit, Manavi Chatterjee, Shibani Sen Gupta, Ashok Kumar Agarwal, Vinay Kumar Khanna",2009-03-27,2010-03-26,2014-01-29,2014-01-29,https://patents.google.com/patent/EP2411030B1/en
KR20150014966A,Ophthalmological vehicle system for drugs ,에프. 홀저 게엠베하,"우트 스타인펠트, 프랑크 홀저, 혁희 이, 마르쿠스 마흘러",2012-05-15,2013-05-14,2015-02-09,,https://patents.google.com/patent/KR20150014966A/en
